ISOALPHA,COUNTRYNM,NAME1,tot_popn_2010,tot_popn_2020,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65_69B,A70_74B,A75_79B,A80_84B,A85PLUSB,row_sum
IRQ,iraq,nineveh,2937597,4096421,0.15194392530179746,0.13889790672662594,0.12348283502244808,0.10651003004838196,0.09284740879037388,0.08009346528956401,0.07087687501804679,0.06039462586094232,0.04890633937269806,0.03284221146576952,0.02472901662063239,0.024664111158085453,0.014830920175333388,0.013175827922984018,0.009606021568097544,0.006198479658219083,0,0,3088620.2087338064
IRQ,iraq,sala ad-din,1112824,1521269,0.15194392530179743,0.13889790672662594,0.12348283502244808,0.106510030048382,0.0928474087903739,0.080093465289564,0.07087687501804678,0.060394625860942325,0.04890633937269807,0.032842211465769516,0.02472901662063239,0.02466411115808546,0.01483092017533339,0.01317582792298402,0.009606021568097542,0.006198479658219085,0,0,1170034.9047766286
IRQ,iraq,thi qar,1734455,2363239,0.15194392530179746,0.1388979067266259,0.12348283502244807,0.10651003004838197,0.09284740879037387,0.080093465289564,0.07087687501804679,0.0603946258609423,0.04890633937269805,0.032842211465769516,0.024729016620632392,0.024664111158085457,0.014830920175333388,0.013175827922984018,0.009606021568097544,0.006198479658219085,0,0,1823624.2044748086
IRQ,iraq,wasit,1074465,1460675,0.15194392530179746,0.13889790672662594,0.12348283502244808,0.10651003004838197,0.0928474087903739,0.080093465289564,0.07087687501804679,0.06039462586094232,0.04890633937269806,0.032842211465769516,0.024729016620632396,0.024664111158085457,0.01483092017533339,0.013175827922984024,0.009606021568097546,0.006198479658219086,0,0,1129704.7164181604
ISL,iceland,hofudborgarsvaedi,118612,118566,0.07296900819478636,0.0599222675614609,0.05915927562135366,0.06646039186591576,0.07652261154014771,0.08662277004013084,0.08054834249485718,0.06983694735777156,0.06509880956395643,0.06654470036758507,0.0657732775773109,0.05849745388324959,0.048713452264526357,0.03501332074326375,0.024702390989107342,0.024175462853674164,0.020727245135399454,0.018712271945502984,118612
ISL,iceland,nordurland eystra,39239,38842,0.06865393928580532,0.06843728493869956,0.075790788366936,0.0780337980781485,0.07121555833099687,0.06285524940738664,0.05783396630387684,0.06220528636606938,0.06902352611322102,0.07120281395763771,0.0677873218973823,0.058828027425891466,0.051665689598042464,0.040055565467845944,0.03030611984808707,0.02673769530752173,0.022149720898223434,0.017217648408227766,39233
ISL,iceland,nordurland vestra,31207,29972,0.06817089195859106,0.06913239960257685,0.07467709368289478,0.0804461395468094,0.07076696259735264,0.06603955001442262,0.06119996153969424,0.06323515271946412,0.0616486651068876,0.07051056055895645,0.07025415852056024,0.06073523284510112,0.04898881446107497,0.03719432069484952,0.03156950097753277,0.02873305342777475,0.01995128361270472,0.016746258132752156,31201
ISL,iceland,south,45988,51744,0.07283126372789944,0.07024335080355784,0.0761259595937629,0.08169323445621207,0.0749842333036122,0.07103712241480548,0.06491529478285453,0.06502403062001175,0.0662418719961725,0.07167866385403301,0.06664419459365417,0.05712980884239828,0.046408455298697346,0.03643737903138116,0.02731444229389122,0.02392188417458626,0.015375247374029533,0.011993562838440294,45983
ISL,iceland,southwest,83014,103019,0.07948850768563581,0.07369416469907965,0.07230279959523925,0.07606129234327567,0.06939358165084566,0.06727942948007518,0.06983327711656145,0.07324242278224835,0.06811665783260251,0.07064038934130006,0.06655664241314509,0.055461860935768326,0.04756541222955717,0.03533224112176553,0.026881655664241316,0.02218956295475353,0.015588107743458778,0.010371994410446683,83012
ISR,israel,hadarom,1069558,1230809,0.10169541746391154,0.09799499525153407,0.08856125676469766,0.08185570530208774,0.08293522033066039,0.0744676497219968,0.06748225354562289,0.06145312823513809,0.055343787125539716,0.055055723584501635,0.05229523112884041,0.04688822139394307,0.037819226120752246,0.026756037623548803,0.026950892543165673,0.01940077761710326,0.013794902923712491,0.009249573323243518,1060460.9773042656
ISR,israel,haifa,916421,1006111,0.08243083098907933,0.08095021993689873,0.07703800792054522,0.07796359369798096,0.07661314268186123,0.07241329693388085,0.07038421245716407,0.06549335476782195,0.05789380178119352,0.05698711892959618,0.05648722948342463,0.05591122156809583,0.04736219495656311,0.03035154901933998,0.03168884071082279,0.024575843863557448,0.019580795906004724,0.01587474439616946,908627.1485746789
ISR,israel,hamerkaz,1879473,2363756,0.096205200607861,0.0893589867336312,0.08001966855946643,0.07468944093574267,0.07173517994098498,0.0690941486099245,0.07624577438996774,0.07312879892481812,0.06145833174019512,0.056811946117846124,0.05578451963581992,0.0560758363962057,0.04407436274753762,0.02634217150659583,0.024484580840437992,0.018187874476983088,0.01427226885083437,0.012030908985147746,1863489.0061726123
ISR,israel,jerusalem,955431,1174225,0.12676985073254218,0.11542668264385123,0.10310669660649346,0.09425365640993447,0.0861640751490133,0.07654039705045822,0.06421934634714581,0.05532132932847425,0.04747653155540715,0.04483351360204281,0.04103989844101857,0.03704826825573351,0.03084747570090339,0.02088106706102791,0.019781843528662465,0.015382116564018026,0.011429497041357862,0.009477753981915497,947305.5315599699
