NAME1,ISOALPHA,COUNTRYNM,tot_popn_2020,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65_69B,A70_74B,A75_79B,A80_84B,A85PLUSB
nakhchivan city,AZE,azerbaijan,110456,8285,7058,9208,11052,11948,10449,7911,7243,8055,8698,6854,4454,2430,1910,2150,1182,501,199
nakhon nayok,THA,thailand,230932,15833,17579,20936,17215,11270,11934,14897,18346,19735,18023,16392,13436,11234,7903,6040,4150,2311,1428
nakhon pathom,THA,thailand,998485,65792,73003,87797,76750,53833,54192,65822,79658,85258,78033,70765,57411,47865,33645,25524,17482,9794,6084
nakhon phanom,THA,thailand,454780,23566,25355,29973,32067,35028,39950,41016,40144,39458,35796,29738,22699,17325,12539,10853,7451,4477,2886
nakhon ratchasima,THA,thailand,2257330,115654,124621,147613,159060,175302,200568,205271,200202,196077,177419,147405,112266,85756,61907,53407,36568,21994,14145
nakhon sawan,THA,thailand,825696,47352,52531,62567,58894,46672,47625,52851,59482,67691,73290,68736,54761,39547,27546,24088,17940,10176,5860
nakhon si thammarat,THA,thailand,1313792,90925,96090,108486,105883,99122,102939,105289,107771,103286,92550,74251,58426,45886,33863,30270,22510,13860,9528
nalut,LBY,libya,111196,11564,10604,10912,11518,11523,11386,9906,7855,5665,4002,2665,2457,1912,1608,1162,918,493,337
namangan,UZB,uzbekistan,2665795,284040,255588,277320,312089,296266,244160,208799,179242,155186,151721,124505,85159,48431,33653,38641,23632,0,0
namayingo,UGA,uganda,295362,48595,44008,39006,31374,25272,19722,15481,12181,10090,7303,6412,3811,3491,2389,2201,1193,1043,1058
namibe,AGO,angola,513641,98815,82249,60067,49636,43000,38462,29730,27346,20762,17101,14023,9557,7043,4260,3563,1838,1321,1130
namorik,MHL,marshall islands,354,51,46,47,40,41,31,18,14,13,13,11,10,7,3,2,0,0,0
namosi,FJI,fiji,8430,1031,1005,991,656,680,695,700,561,489,431,318,289,220,159,81,0,0,0
nampula,MOZ,mozambique,6258108,1149568,953993,631999,501524,460829,424809,376410,329311,219365,181487,142972,108517,81562,61632,36523,26686,11347,14475
namu,MHL,marshall islands,666,97,88,89,75,78,59,34,26,25,25,22,19,13,7,4,0,0,0
namukulu,NIU,niue,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
namutumba,UGA,uganda,337904,55581,50338,44619,35892,28920,22568,17715,13938,11544,8355,7338,4361,3996,2734,2520,1366,1194,1211
nan,THA,thailand,433887,24969,27698,32965,30939,24485,24996,27756,31260,35557,38489,36087,28757,20773,14468,12640,9402,5328,3064
NaN,AUS,australia,3580,166,203,212,189,302,490,337,260,255,258,218,223,168,75,57,25,13,6
nana gribizi,CAF,central african republic,162363,23962,21811,19808,17434,15765,13465,10831,8531,6602,5378,4562,3783,3078,2485,1854,1150,0,0
nana mambere,CAF,central african republic,322017,47525,43258,39286,34577,31267,26705,21482,16920,13095,10667,9049,7504,6106,4929,3678,2280,0,0
nangarhar,AFG,afghanistan,2134202,330895,309972,267267,204627,157117,128358,105994,86516,70462,56713,45328,35788,28867,18475,11566,6372,0,0
nantou,TWN,taiwan,422570,18212,23057,30093,28235,20341,28794,29837,27434,32083,34657,33829,30229,21840,17335,17096,13753,0,0
nanumanga,TUV,tuvalu,338,44,42,41,14,19,18,23,21,24,22,20,26,14,9,9,2,2,0
nanumea,TUV,tuvalu,398,55,42,44,28,34,28,22,18,18,27,30,32,15,6,7,6,6,0
napak,UGA,uganda,177357,29142,26400,23405,18834,15197,11858,9306,7320,6060,4385,3856,2291,2101,1437,1327,717,629,638
napo,ECU,ecuador,168696,21493,22131,20545,17838,13981,13168,11000,9609,7526,7031,5127,4371,3308,2680,1700,1023,608,448
nara,JPN,japan,1321220,52614,58501,64496,69183,69167,68711,77362,96004,87986,82543,78823,92464,112714,95258,76157,61749,45029,40106
naranjito,PRI,puerto rico,31194,1944,2029,2327,2582,2436,2144,2126,1694,2022,2218,2148,1952,1706,1360,958,692,497,451
narathiwat,THA,thailand,619132,42720,45144,51000,49892,46843,48628,49727,50833,48709,43644,35051,27536,21622,15935,14228,10572,6510,4471
narimanov,AZE,azerbaijan,186307,11885,10919,13013,18121,20005,17197,14018,13519,14247,16034,12134,8001,4963,3567,3775,1974,1026,449
narino,COL,colombia,1751380,202459,204041,196906,182902,168839,150048,125815,122857,102649,85081,70714,60058,48271,41727,33922,24264,0,0
naryn,KGZ,kyrgyzstan,285327,33373,31065,31688,30106,24333,21182,19517,17702,15976,15586,12119,8707,4327,4711,4675,3465,1842,1083
nasimi,AZE,azerbaijan,240606,13139,12978,15723,23531,29476,24116,19038,18154,18126,19458,14097,9889,6415,5137,4842,2659,1306,640
nassarawa,NGA,nigeria,2653292,505433,402979,301731,274244,243694,229203,172023,128465,107312,73360,65575,29652,35235,17626,20073,9665,12560,13925
national capital,PNG,papua new guinea,347191,41582,43452,38892,40956,33352,30272,24679,24340,18506,16517,11617,8364,6285,4253,2390,1313,598,407
navoiy,UZB,uzbekistan,901258,96032,86412,93760,105515,100165,82547,70592,60598,52464,51292,42092,28788,16372,11377,13062,7987,0,0
nay pyi taw,MMR,myanmar,537486,48923,52093,51562,47389,51512,52223,47026,39341,34578,31047,25598,21064,14121,9315,5767,4814,2975,2088
nayarit,MEX,mexico,1400156,130535,129161,128321,131873,119042,101091,97930,96179,79595,68802,59997,49061,39427,31182,25876,17113,10678,10156
nct of delhi,IND,india,19792757,1576616,1753277,1881396,1903625,2014300,1905030,1638247,1506417,1252996,1040780,785375,581375,539030,311159,216179,115052,72020,57132
nebbi,UGA,uganda,511203,84027,76115,67476,54292,43788,34168,26817,21096,17467,12640,11111,6602,6054,4141,3821,2068,1812,1837
neembucu,PRY,paraguay,85432,7657,7780,8066,8153,7705,6616,5581,5421,5256,4816,4409,3954,3171,2597,1969,1374,0,0
negeri sembilan,MYS,malaysia,1122087,84131,102587,104461,114766,112325,90122,77643,70050,65804,65127,61195,49701,36014,23180,18853,0,0,0
negros occidental,PHL,philippines,2448256,267677,275435,279032,271464,212716,172425,155946,146130,138964,125589,107249,86825,62374,47988,37781,23013,0,0
negros oriental,PHL,philippines,1475922,156908,162953,170371,163262,121985,101627,93729,88337,84016,78561,66342,54899,38923,29703,24790,15156,0,0
nei mongol,CHN,china,25776276,1160178,1133137,1311606,1726460,2160842,2135891,2040508,2634548,2601381,2322309,1880694,1570647,1004022,688486,612110,386330,172980,77318
nelson,NZL,new zealand,53096,3072,3150,3258,3023,2532,2578,2646,3085,3720,3772,4029,3512,3203,2750,2011,1533,1227,1282
neno,MWI,malawi,181445,31893,25737,23073,16241,15347,13502,9853,7869,5574,4529,3522,3488,2346,2000,1362,1286,702,909
neuchatel,CHE,switzerland,178365,9346,9669,10231,11117,11340,11095,11681,13070,14001,13929,12304,10710,10465,9088,6765,6262,4929,4869
neuquen,ARG,argentina,664042,59113,53655,59104,60888,55055,53114,54615,48017,40396,37527,32683,27801,21798,15510,11036,7615,4737,3555
nevis,KNA,saint kitts and nevis,16648,1443,1540,1532,1291,1184,1321,1458,1399,1321,966,626,513,468,448,431,315,256,195
nevsehir,TUR,turkey,270540,21541,22104,24709,22577,19694,22462,21632,20235,18053,18194,14639,13062,11332,8293,7258,5367,3198,1467
new brunswick,CAN,canada,801210,37784,37864,41766,47418,46042,43147,45180,49725,52946,63994,65036,61500,56563,40522,30326,23224,16839,17057
new ireland,PNG,papua new guinea,188833,22613,23631,21144,22270,18140,16477,13432,13246,10067,8982,6315,4545,3416,2310,1298,713,324,221
new providence,BHS,bahamas,287409,24423,25412,24941,24779,22386,22338,22221,23564,21022,19852,14923,10498,7578,5962,4379,2738,1633,1289
new south wales,AUS,australia,8234982,529151,501561,506831,511214,517816,544808,539443,562509,557180,554918,540561,483625,450210,350756,273687,214677,173945,161269
new taipei,TWN,taiwan,4282624,176260,203756,262063,288757,317897,406176,436500,364976,347080,354088,329996,282060,171743,107905,83926,59982,0,0
new territories,HKG,"china, hong kong special administrative region",3965001,139537,144404,195882,255790,275652,312600,317985,321434,322738,374768,374673,291239,218733,122644,105065,91038,63701,56211
newfoundland and labrador,CAN,canada,538027,24711,25431,27374,30049,30456,28661,29700,33900,38525,42705,43839,43268,39751,29184,20515,14908,10148,8586
ngaraard,PLW,palau,346,22,26,45,78,13,17,13,25,20,19,19,13,11,11,6,6,6,4
ngardmau,PLW,palau,56,3,7,7,1,2,1,4,7,8,4,3,2,1,0,0,1,0,0
ngaremlengui,PLW,palau,161,13,17,20,8,7,15,7,7,16,12,11,6,5,6,4,0,3,2
ngatpang,PLW,palau,1667,90,217,255,150,60,82,157,142,120,150,120,45,45,30,22,37,15,0
ngchesar,PLW,palau,173,9,19,18,8,4,10,12,17,12,11,14,12,8,4,6,2,3,2
ngerchelong,PLW,palau,1914,180,188,254,40,57,81,163,155,147,163,163,57,98,98,40,81,16,8
ngiwal,PLW,palau,272,17,30,33,6,17,19,25,24,22,24,10,15,3,5,2,8,5,11
ngobe bugle,PAN,panama,230022,39000,39124,33778,21717,14440,12638,10778,10180,7730,6553,5490,3910,3782,2403,2401,1299,652,498
ngora,UGA,uganda,182842,30053,27223,24134,19418,15662,12221,9591,7545,6247,4521,3974,2361,2165,1481,1366,739,648,657
ngounie,GAB,gabon,94533,17846,15566,13915,12735,11478,9827,8097,6761,5581,4559,3694,3223,2751,2279,1807,1336,0,0
ngozi,BDI,burundi,970086,145693,129753,113769,97546,80152,65913,51330,41905,34633,28481,23103,18160,12973,9590,6851,4749,0,0
niamey,NER,niger,1341458,215406,181838,149591,137907,127861,115078,92652,73461,56630,43740,33066,25490,17184,12643,8661,4637,2206,2739
niari,COG,congo,196675,28268,22239,19887,17424,14792,12913,11318,10043,7380,6151,4765,3790,3073,3301,2633,2054,802,595
niassa,MOZ,mozambique,2266751,470539,350554,224777,184808,170681,155421,121720,101187,70170,59722,46855,34701,26842,19547,12773,8928,4494,5589
nibok,NRU,nauru,497,78,56,51,44,50,48,38,29,23,24,18,13,7,2,1,0,0,0
nickerie,SUR,suriname,29139,2183,2117,2595,2723,2053,2253,2027,2186,2377,2356,2028,1441,1123,746,585,437,270,102
nidwalden,CHE,switzerland,43855,2037,2032,2258,2664,2754,2743,2705,3001,3685,3912,3562,3001,2939,2416,1667,1278,1015,794
niederosterreich,AUT,austria,1654230,73775,81171,85646,97973,95580,93562,94802,108153,135949,143970,127047,103784,97981,79939,88583,55900,45460,39374
niedersachsen,DEU,germany,7778250,316886,359122,424645,436978,447295,423521,423313,453493,633887,681422,594917,511281,465531,404781,478788,316005,227765,190882
nigde,TUR,turkey,342837,31715,31645,34308,32764,27859,27815,26621,24666,20944,21049,15495,14135,12360,9526,7707,5802,3485,1628
niger,NGA,nigeria,5966736,1181180,944037,666325,587840,527623,504032,386829,285849,242233,159086,150394,64908,81640,35953,45425,19227,29712,30758
niigata,JPN,japan,2197292,85121,92873,104080,104842,95989,110787,132004,147926,135157,132922,140910,166733,180183,138265,130781,122009,98582,90846
niksic,MNE,montenegro,70578,4217,4231,4705,5002,4695,5145,4981,4828,4605,4978,4959,4651,3944,2464,3090,2040,1287,662
nikunau,KIR,kiribati,1716,234,184,203,183,173,140,112,93,102,87,64,48,33,25,18,10,4,2
nimba,LBR,liberia,625853,97465,86631,70075,60484,52300,40779,33633,30523,25379,18917,14042,9161,8889,7402,5255,5398,3188,5195
nimroz,AFG,afghanistan,198688,30805,28857,24881,19050,14627,11949,9867,8054,6559,5279,4219,3331,2687,1720,1076,593,0,0
nineveh,IRQ,iraq,4096421,654425,598236,531843,458740,399895,344964,305268,260120,210640,141452,106508,106228,63877,56748,41373,26696,0,0
ningxia hui,CHN,china,7208640,474170,500505,558065,627792,627026,569738,613133,673356,655304,506380,332848,333677,234804,181869,139571,82768,36244,17523
nisporeni,MDA,republic of moldova,56713,3265,3752,5070,5232,4419,3956,3505,3314,3919,3966,3674,2240,1951,1847,1412,0,0,0
nitriansky kraj,SVK,slovakia,666548,29739,28251,32008,39580,47701,52526,55667,53489,45290,47654,49296,50567,40606,29804,23911,18172,12592,8087
niuas,TON,tonga,833,84,98,100,79,48,44,46,41,48,53,40,38,27,27,23,13,4,3
niulakita,TUV,tuvalu,18,2,1,4,0,2,0,2,1,0,1,1,0,0,0,0,0,0,0
niutao,TUV,tuvalu,466,65,62,48,21,33,32,23,28,28,35,28,35,16,8,12,9,4,2
nizami,AZE,azerbaijan,205525,11561,11072,14018,19410,22258,19022,15881,15620,17152,18377,13445,8517,5009,4343,4550,2214,1047,418
nizhegorod,RUS,russian federation,3107820,152989,135449,129111,172623,259813,250477,228788,213344,195934,226889,262399,231192,183979,93614,155083,101787,73338,34455
njombe,TZA,united republic of tanzania,823583,101866,111341,108205,79724,64749,58522,49578,43248,32771,26334,22995,16818,15550,11164,10003,6070,0,0
nkhata bay,MWI,malawi,325314,51169,46736,41441,32076,28177,22915,17054,13404,10920,8439,7010,5836,4909,4460,3315,2831,1476,1245
nkhotakota,MWI,malawi,451130,79802,66628,54100,39602,38346,34006,25941,20270,14483,11333,8508,7847,5274,4840,3292,3071,1543,1879
nong bua lam phu,THA,thailand,447418,21991,23827,28428,31417,35662,41258,41793,40322,39027,35007,29104,22018,16866,12072,10305,6998,4230,2707
nong khai,THA,thailand,697679,35508,38294,45412,49122,54385,62345,63708,62039,60649,54801,45537,34649,26481,19093,16446,11248,6772,4354
nonouti,KIR,kiribati,1728,235,185,204,183,174,141,113,94,102,88,65,49,33,25,18,10,4,2
nonthaburi,THA,thailand,1990984,126043,139768,169785,157497,117153,113013,133948,159483,169873,155814,140904,113175,94090,66078,49769,33985,19150,11967
noord-brabant,NLD,netherlands,2505940,131763,144371,151037,152223,147656,142300,144687,164899,196881,200279,183847,167175,169075,127124,101628,79823,53465,40574
noord-holland,NLD,netherlands,2813917,159742,163074,159718,158600,172672,181926,187039,202948,225439,221348,198828,177367,183116,126181,100495,77677,57612,52128
noord-tanki leendert,ABW,aruba,24652,1648,1810,1933,1782,1167,1284,1721,2033,2300,2423,2020,1528,1102,702,562,319,193,89
nord,BFA,burkina faso,5466639,977774,883502,694484,580456,461966,398197,317035,253461,223192,171039,146876,94125,96562,60000,60221,30316,25282,21219
nord,CMR,cameroon,5466639,977774,883502,694484,580456,461966,398197,317035,253461,223192,171039,146876,94125,96562,60000,60221,30316,25282,21219
nord,HTI,haiti,5466639,977774,883502,694484,580456,461966,398197,317035,253461,223192,171039,146876,94125,96562,60000,60221,30316,25282,21219
nord,NCL,new caledonia,5466639,977774,883502,694484,580456,461966,398197,317035,253461,223192,171039,146876,94125,96562,60000,60221,30316,25282,21219
nord est,HTI,haiti,362755,43582,44387,47667,43606,35932,29828,23338,21022,18604,15176,13080,7470,8288,5570,5894,2946,2492,2194
nord ouest,HTI,haiti,775903,93180,94902,101917,93275,76895,63833,49933,44988,39790,32464,27968,15976,17726,11918,12609,6306,5336,4699
nord-kivu,COD,democratic republic of the congo,7397339,1420921,1172091,1000401,856670,702263,575942,469446,389256,321139,261283,209941,166352,134199,98743,65066,36854,0,0
nord-ouest,CMR,cameroon,2186144,329238,321560,314657,276105,195596,152588,120524,96526,78300,66817,52255,43783,37618,29903,21124,12456,7307,7333
nord-trondelag,NOR,norway,140403,8298,8645,9826,10100,8929,7080,7088,8812,9875,9688,9159,9284,9114,7406,5241,4265,3570,3608
nordjylland,DNK,denmark,577934,31874,32828,36053,38629,33687,29464,33364,36143,41043,41946,39289,38193,40894,32992,24121,18260,13566,12537
nordland,NOR,norway,242884,13312,14004,16174,17372,15473,12809,12527,15063,17722,17054,16436,16239,15814,12706,9511,7477,6244,6242
nordrhein-westfalen,DEU,germany,17490963,723261,791996,911975,958765,1040594,1032918,1007506,1036962,1415947,1530254,1356954,1158157,1004568,868550,1033025,719161,520220,407743
nordurland eystra,ISL,iceland,38842,2666,2657,2943,3030,2765,2441,2246,2415,2680,2765,2632,2284,2006,1555,1176,1038,860,668
nordurland vestra,ISL,iceland,29972,2042,2071,2237,2410,2120,1978,1833,1894,1847,2112,2105,1820,1468,1114,946,861,597,501
norfolk island,NFK,norfolk island,2460,109,127,136,75,42,62,103,131,151,172,186,240,271,212,146,99,60,53
normandie,FRA,france,3352024,204949,212419,209288,215792,201649,195017,197130,224258,227873,231236,231773,228525,195321,134538,136048,125536,97036,81008
noroya,FRO,faeroe islands,5409,350,403,401,401,352,290,328,344,367,340,373,316,301,264,183,164,116,109
norrbotten,SWE,sweden,240356,11855,11963,12218,16034,15883,12276,11960,14196,16102,16527,16596,16772,17983,15306,12269,9954,7378,5926
norte de santander,COL,colombia,1250174,143470,151447,141746,130105,116560,100732,89066,87265,80164,67016,53988,42544,32694,27918,20989,15409,0,0
north,LBN,lebanon,1733960,109661,134034,156750,166012,157183,150823,136894,130984,132084,129997,107645,83561,64179,32821,27733,18574,0,0
north,SGP,singapore,1733960,109661,134034,156750,166012,157183,150823,136894,130984,132084,129997,107645,83561,64179,32821,27733,18574,0,0
north,SYC,seychelles,1733960,109661,134034,156750,166012,157183,150823,136894,130984,132084,129997,107645,83561,64179,32821,27733,18574,0,0
north and south central coast,VNM,viet nam,19546670,1534742,1546271,1898397,2201293,1618170,1487558,1418912,1454299,1341610,1154888,957573,678600,464287,378975,365206,320311,202931,192642
north ari atoll,MDV,maldives,4717,471,475,482,548,644,478,395,317,244,202,119,73,68,0,0,0,0,0
north bahr-al-ghazal,SSD,south sudan,590554,100065,91588,60224,44731,40466,40328,31267,30296,20829,18136,13560,9237,8528,0,0,0,0,0
north caicos,TCA,turks and caicos islands,1034,67,64,70,59,46,70,96,98,87,73,64,45,34,21,12,12,10,8
north central,LKA,sri lanka,1369163,133780,120382,107670,108167,103099,107717,120492,102154,93098,87518,80743,67934,53177,30339,19827,12872,0,0
north darfur,SDN,sudan,3634596,497314,492064,425219,348780,291105,255578,205414,191709,146743,108506,91420,53168,58009,33352,35028,16645,15073,11410
north east,BWA,botswana,73635,8369,7586,7314,7435,7070,7332,6014,4766,3501,2906,2346,1911,1328,981,787,634,469,700
north eastern,KEN,kenya,5725566,802983,1051327,1070136,731659,429456,310158,282003,238214,225254,140499,123781,58949,71969,27029,40320,14546,0,0
north hamgyong,PRK,democratic people's republic of korea,2584882,180048,197371,209517,199880,151241,175071,177543,234346,216447,161231,138230,91425,111607,95567,71201,36016,0,0
north huvadhu atoll,MDV,maldives,6589,699,918,951,774,578,466,389,322,306,299,212,156,160,0,0,0,0,0
north hwanghae,PRK,democratic people's republic of korea,2421402,167872,184462,209369,189451,148130,165930,165176,217492,196426,151431,127164,85895,99604,85461,65587,33300,0,0
north kazakhstan,KAZ,kazakhstan,504500,33526,29653,32192,38470,42076,38136,36152,34212,34549,41256,37604,29857,17259,17015,18833,9390,6883,2567
north khorasan,IRN,iran (islamic republic of),995731,83227,75552,75740,88242,112405,115844,93121,74395,65533,53835,47119,35806,24903,17960,14960,12195,7501,4782
north maalhosmadulu,MDV,maldives,32175,3542,4245,4924,4192,2892,2098,1803,1673,1590,1573,862,533,533,0,0,0,0,0
north miladhunmadulu,MDV,maldives,20246,2101,2512,2884,2678,1798,1430,1302,1208,984,845,540,432,436,0,0,0,0,0
north nilandhe atoll,MDV,maldives,2833,308,372,455,363,264,194,164,154,141,121,64,55,57,0,0,0,0,0
north ossetia,RUS,russian federation,727123,46917,42356,43890,53167,63743,56225,52345,49613,49001,52121,49318,40597,31474,21489,33637,19205,14308,6176
north side,CYM,cayman islands,1648,139,88,130,101,83,123,117,159,156,127,107,93,62,35,40,25,25,15
north sinai,EGY,egypt,498022,63275,61459,56784,52437,44637,39627,33549,31174,25419,21148,15636,10501,7550,5455,3308,0,0,0
north thiladhunmathi,MDV,maldives,28992,2731,3512,4275,3870,2453,1844,1783,1711,1590,1411,822,634,621,0,0,0,0,0
north west,BWA,botswana,4115466,468503,387431,355301,369568,397086,380238,315036,273273,234791,213571,182938,146661,107713,81666,59154,39477,24995,22680
north west,ZAF,south africa,4115466,468503,387431,355301,369568,397086,380238,315036,273273,234791,213571,182938,146661,107713,81666,59154,39477,24995,22680
north west upolu,WSM,samoa,72659,10610,8771,8291,7853,6187,5182,4646,4372,4205,3308,2823,2121,1411,1157,870,0,0,0
north western,LKA,sri lanka,3587716,409838,374030,342467,313369,257224,263854,260227,222951,202605,188466,173695,153088,132080,81981,56591,38254,3144,3266
north western,ZMB,zambia,3587716,409838,374030,342467,313369,257224,263854,260227,222951,202605,188466,173695,153088,132080,81981,56591,38254,3144,3266
north-east,SGP,singapore,2266842,202856,178139,164896,148733,130695,128072,131721,129442,111299,111281,104872,86553,66691,8797,6441,3613,0,0
north-east,SOM,somalia,2266842,202856,178139,164896,148733,130695,128072,131721,129442,111299,111281,104872,86553,66691,8797,6441,3613,0,0
north-west,SOM,somalia,3027989,511335,417805,357598,283110,227664,184540,150936,125733,105011,85969,70567,57406,44245,31363,22962,12881,0,0
northeastern,MKD,the former yugoslav republic of macedonia,177327,10071,11035,12395,14010,14215,13870,13501,12505,12537,12484,11786,10550,8370,6666,5504,4298,1882,997
northern,AUS,australia,11443273,1637762,1576244,1270529,1134465,937892,858049,735305,645790,530799,440821,374349,263323,254105,132045,123658,73369,49773,41032
northern,BHR,bahrain,11443273,1637762,1576244,1270529,1134465,937892,858049,735305,645790,530799,440821,374349,263323,254105,132045,123658,73369,49773,41032
northern,GHA,ghana,11443273,1637762,1576244,1270529,1134465,937892,858049,735305,645790,530799,440821,374349,263323,254105,132045,123658,73369,49773,41032
northern,ISR,israel,11443273,1637762,1576244,1270529,1134465,937892,858049,735305,645790,530799,440821,374349,263323,254105,132045,123658,73369,49773,41032
northern,LKA,sri lanka,11443273,1637762,1576244,1270529,1134465,937892,858049,735305,645790,530799,440821,374349,263323,254105,132045,123658,73369,49773,41032
northern,MLT,malta,11443273,1637762,1576244,1270529,1134465,937892,858049,735305,645790,530799,440821,374349,263323,254105,132045,123658,73369,49773,41032
northern,MSR,montserrat,11443273,1637762,1576244,1270529,1134465,937892,858049,735305,645790,530799,440821,374349,263323,254105,132045,123658,73369,49773,41032
northern,PNG,papua new guinea,11443273,1637762,1576244,1270529,1134465,937892,858049,735305,645790,530799,440821,374349,263323,254105,132045,123658,73369,49773,41032
northern,SDN,sudan,11443273,1637762,1576244,1270529,1134465,937892,858049,735305,645790,530799,440821,374349,263323,254105,132045,123658,73369,49773,41032
northern,SLE,sierra leone,11443273,1637762,1576244,1270529,1134465,937892,858049,735305,645790,530799,440821,374349,263323,254105,132045,123658,73369,49773,41032
northern,ZMB,zambia,11443273,1637762,1576244,1270529,1134465,937892,858049,735305,645790,530799,440821,374349,263323,254105,132045,123658,73369,49773,41032
northern cape,ZAF,south africa,1296460,136287,127494,122390,120385,116796,111904,95910,83947,76413,69057,60301,49159,37602,26636,19307,12847,7266,6470
northern great plain,HUN,hungary,1556655,77265,83279,90161,105224,102267,94835,112554,121597,110033,96647,108126,118515,96977,71558,61692,49331,33754,22794
northern harbour,MLT,malta,117689,5412,5044,5768,6939,8313,8555,8536,7905,7017,7516,8531,8441,9164,7372,5211,4273,2637,1930
northern hungary,HUN,hungary,1141227,55320,58839,63549,73511,70379,66188,77550,83915,79061,71918,80584,89842,74283,59382,51260,41027,26661,17928
northern ireland,GBR,united kingdom of great britain and northern ireland,1937557,132914,118926,127291,135086,134901,132743,128091,130670,140979,140873,125204,106317,101002,87984,68033,53982,38992,33667
northern islands,COK,cook islands,899,100,100,100,60,59,44,39,35,46,56,46,24,19,18,12,7,0,0
northern kordofan,SDN,sudan,4292703,586752,580166,500735,411816,345050,303793,243715,227177,173421,127938,107740,62502,68180,39086,41156,19486,17731,13364
northern midlands and mountains,VNM,viet nam,12872481,1170022,1053597,1149624,1385110,1256647,1120297,992206,899615,851623,811670,599723,371560,266300,222177,186710,154384,83411,80476
northern samar,PHL,philippines,735612,93009,100191,101590,82976,58070,46219,42630,40515,35997,30777,25621,20507,17381,14040,10082,5669,0,0
northland,NZL,new zealand,163671,10904,11273,11321,9853,7224,6822,6748,8087,10072,10879,11763,11161,10693,9540,7440,4950,3482,3000
northwest territories,CAN,canada,41812,3204,2777,2766,3287,3224,3385,3222,2933,2955,3287,3020,2321,1658,943,545,388,241,198
notranjsko-kraska,SVN,slovenia,51667,2633,2262,2332,2571,2922,3813,3973,3767,3751,3922,3902,3937,3024,2281,2251,1918,1360,986
nouakchott,MRT,mauritania,1372271,215343,182058,150188,126273,105571,89786,74459,62402,52819,43591,35836,28595,21751,16521,12365,8718,0,0
nouvelle-aquitaine,FRA,france,6117300,324643,342324,342169,353477,340400,331083,345196,408155,422666,424473,423265,432541,389915,283745,279670,265568,212842,190384
nova scotia,CAN,canada,947396,43808,44304,49658,57284,59298,51663,51285,56100,61849,75957,77240,70743,66275,48795,36318,27594,19994,20359
novgorod,RUS,russian federation,574594,29806,26417,23797,29103,45208,44771,41016,37874,35209,42901,49401,44654,34986,18090,29421,19377,14706,6639
novoberde,KOS,kosovo,7934,624,629,657,692,689,608,535,522,497,469,410,324,314,262,280,200,0,0
novosibirsk,RUS,russian federation,2672848,145852,127508,110445,154843,234320,239701,211891,191609,161792,191426,219358,193142,147751,70718,119292,68016,54540,25002
nsanje,MWI,malawi,340431,56086,49787,41926,31599,26339,24732,18205,15087,10012,8225,6751,6644,5233,4395,3055,3704,1977,3761
ntcheu,MWI,malawi,686457,112489,94430,85037,62526,56746,49930,38414,28289,21845,18110,14990,16410,10750,9495,7064,6684,3278,3762
ntchisi,MWI,malawi,338073,59223,47241,40392,31043,29947,24500,18789,14614,10916,8522,6714,6302,4692,3875,2754,2658,1381,1751
nth.tarawa,KIR,kiribati,6372,868,684,755,678,643,522,417,349,379,324,241,181,123,94,68,39,16,7
ntoroko,UGA,uganda,82715,13630,12339,10933,8789,7064,5514,4329,3408,2824,2045,1792,1066,974,667,613,333,290,294
ntungamo,UGA,uganda,600289,98668,89377,79234,63753,51420,40124,31491,24772,20511,14843,13048,7753,7110,4863,4487,2429,2128,2158
nueva ecija,PHL,philippines,2363714,254360,246411,243278,239177,208256,186836,175502,157444,149288,126417,104991,79732,59768,42080,32237,19735,0,0
nueva esparta,VEN,venezuela (bolivarian republic of),653802,51872,50709,53068,55084,55315,52342,51455,46064,41057,35282,29200,24696,19541,13685,9473,6757,4012,3874
nueva segovia,NIC,nicaragua,283894,35401,39766,38522,30194,28203,23215,18277,14624,11481,9656,7784,6191,4842,3755,2600,1725,1102,1221
nueva vizcaya,PHL,philippines,506175,53984,54805,53580,52147,45679,40665,36856,32560,30206,26813,22737,17374,12423,7614,6619,4201,0,0
nuevo leon,MEX,mexico,9813869,835667,870498,840099,822635,813910,777842,776583,775820,649916,527944,447675,328890,269094,196502,153491,97548,61884,48225
nui,TUV,tuvalu,444,63,59,45,16,33,41,27,26,22,22,36,21,20,14,9,6,1,2
nukufetau,TUV,tuvalu,412,54,51,50,29,43,22,19,13,22,27,35,21,18,9,11,4,4,0
nukulaelae,TUV,tuvalu,229,30,29,27,15,17,16,14,11,16,18,11,6,8,6,9,3,3,0
nukunonu,TKL,tokelau,391,56,46,58,50,45,30,21,28,28,25,24,23,12,13,12,0,0,0
nunavut,CAN,canada,37093,4422,3702,3445,3377,3287,2912,2727,2137,2338,2018,1673,1274,1021,541,304,208,95,28
nuristan,AFG,afghanistan,203236,31509,29517,25450,19485,14961,12223,10093,8238,6710,5400,4316,3408,2749,1759,1101,607,0,0
nwoya,UGA,uganda,251266,41353,37447,33189,26692,21491,16772,13166,10361,8583,6213,5453,3241,2968,2031,1871,1015,886,899
nyanga,GAB,gabon,45426,8575,7480,6686,6120,5515,4722,3891,3248,2682,2191,1775,1548,1322,1095,868,642,0,0
