NAME1,ISOALPHA,COUNTRYNM,tot_popn_2020,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65_69B,A70_74B,A75_79B,A80_84B,A85PLUSB
sud est,HTI,haiti,588316,70666,71972,77291,70723,58292,48390,37856,34104,30171,24615,21209,12114,13441,9035,9560,4780,4044,3561
sud-kivu,COD,democratic republic of the congo,4952664,951334,784738,669788,573557,470179,385604,314303,260615,215009,174934,140560,111376,89849,66110,43563,24674,0,0
sud-ouest,BFA,burkina faso,2677501,406259,393865,341235,294881,256349,224173,177778,139843,110438,90000,68251,53903,45011,32048,21303,11232,6545,5350
sud-ouest,CMR,cameroon,2677501,406259,393865,341235,294881,256349,224173,177778,139843,110438,90000,68251,53903,45011,32048,21303,11232,6545,5350
suez,EGY,egypt,719413,73986,71726,71067,75573,77977,62369,39524,41771,42909,34735,33268,22082,15818,10014,7456,0,0,0
suffisant,CUW,curacao,3216,190,209,229,244,173,165,170,212,238,273,255,222,195,151,114,82,52,43
sughd,TJK,tajikistan,2679476,333043,267969,278951,283609,287089,239047,190918,164074,151258,142455,116757,74491,44780,26587,32027,21816,12889,5630
suhareke,KOS,kosovo,70732,6072,6556,7709,7553,6757,5315,4822,4976,4307,3695,2919,2399,1890,1736,1387,904,0,0
sukhbaatar,MNG,mongolia,46729,4820,4017,4572,3983,4106,4284,4213,3554,3172,2727,2268,1363,779,565,507,367,179,121
sukhothai,THA,thailand,610588,34638,38441,45923,43761,34946,35509,39206,43929,49972,54196,50934,40540,29247,20351,17813,13301,7550,4347
sulawesi,IDN,indonesia,20640553,2099965,2254226,2104902,1848136,1676079,1708551,1608496,1549939,1335530,1072871,893733,663753,524715,381583,273210,153720,97392,54434
