ISOALPHA,COUNTRYNM,NAME1,pop_size,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,perc_susceptible,perc_foreign_born
BDI,burundi,cibitoke,612549,69.33333333333334,19.679230559514423,11.59887617153893,12.353493353184806,93.0215116047859,NA
BDI,burundi,gitega,915248,69.33333333333334,22.391068868765625,15.047331433666066,15.907120255930634,91.01406776742479,NA
BDI,burundi,karusi,550222,69.33333333333334,20.288354518721533,12.61439927883654,13.344395534893188,92.46175096233884,NA
BDI,burundi,kayanza,893001,69.33333333333334,21.533068831949794,14.607643216524954,15.429949126596723,91.2836217383855,NA
BDI,burundi,kirundo,889847,69.33333333333334,20.311249012470682,12.675842026775392,13.441232032023482,92.40704802510994,NA
BDI,burundi,makamba,595329,69.33333333333334,19.959355247266636,11.903233338204588,12.660999212200313,92.84780154502805,NA
BDI,burundi,muramvya,368133,69.33333333333334,21.966656072669387,15.033751388764385,15.849380522800185,91.04668494267017,NA
BDI,burundi,muyinga,1097219,69.33333333333334,20.2374758366379,12.546264692827958,13.292697264629942,92.49095531521054,NA
BDI,burundi,mwaro,355987,69.33333333333334,22.64673709995028,15.928446825305418,16.771061864618652,90.52602715267693,NA
BDI,burundi,ngozi,864601,69.33333333333334,21.159675966139293,13.620178556351426,14.42131110188399,91.85340135854574,NA
BDI,burundi,rutana,552019,69.33333333333334,20.228530177403314,12.518482153693983,13.267043344522564,92.50544721467921,NA
BDI,burundi,ruyigi,624337,69.33333333333334,20.156932874393156,12.640032546525354,13.384694483908532,92.43898608604007,NA
BEL,belgium,bruxelles,1265006,81.5,37.02547932578976,38.52968286316428,37.04744483425375,76.04989066123007,NA
BEL,belgium,valaanderen,6616875,81.5,41.73304218381033,49.63596864078587,48.270157740625294,68.57309268121281,NA
BEL,belgium,wallonie,3677248,81.5,40.363385335990394,47.12548079433315,45.729507501261814,70.30560667047749,NA
BEN,benin,alibori,1073620,80,18.985387753581342,10.0341834168514,10.749799742925802,93.0599292859671,NA
BEN,benin,atakora,857077,80,20.152735985214864,12.582976792050191,13.359149761339998,91.3753329140789,NA
BEN,benin,atlantique,1821403,80,21.647314185822687,13.133436147848663,14.013933215219257,90.95260471625444,NA
BEN,benin,borgou,1518038,80,19.432484562310034,10.56370130391993,11.282589763892602,92.71596004843093,NA
BEN,benin,collines,772545,80,21.08002964228621,12.846086635729959,13.661236562271453,91.18030567539755,NA
BEN,benin,couffo,832283,80,20.0359565195973,11.492220795090132,12.255951401146003,92.08755777542014,NA
BEN,benin,donga,643944,80,20.981123358552917,12.81397140123986,13.60369845825103,91.21745227535314,NA
BEN,benin,littoral,4793173,80,23.596970941795757,14.618099534483733,15.612209281826464,89.92075768765284,NA
BEN,benin,mono,544990,80,22.13551624800455,14.855391842052146,15.710857079946422,89.85707066918658,NA
BEN,benin,oueme,1295125,80,21.835503908889102,13.820581024997585,14.687091979538655,90.51801341800984,NA
BEN,benin,plateau,5261315,80,21.643405308368724,13.38237303791923,14.205406823199143,90.82898935494264,NA
BEN,benin,zou,953595,80,21.732483391796308,14.04302665177565,14.861382452718397,90.405491488525,NA
BES,"bonaire, saint eustatius and saba",bonaire,19437,NA,36.91001697792869,42.656788599063646,NA,NA,NA
BES,"bonaire, saint eustatius and saba",saba,2022,NA,35.4757665677547,35.281899109792285,NA,NA,NA
BES,"bonaire, saint eustatius and saba",sint eustatius,4916,NA,36.13740846216436,40.02441008950366,NA,NA,NA
BFA,burkina faso,boucle du mouhoun,1811378,86,20.921490158321454,14.150111130862802,14.919635769011217,89.64547438359082,NA
BFA,burkina faso,cascades,1066153,86,20.661692552569846,12.960841455213275,13.712159511814908,90.48348705561023,NA
BFA,burkina faso,centre,10799228,86,22.66910620833267,13.77999056969628,14.675812011747505,89.81469294760699,NA
BFA,burkina faso,centre-est,1614363,86,21.32871138647256,14.973274288372565,15.738839406007198,89.07693067544288,NA
BFA,burkina faso,centre-nord,1622385,86,20.83444774205876,14.34891224955852,15.1228222647522,89.50445889181667,NA
BFA,burkina faso,centre-ouest,1581355,86,21.58609040980678,15.56236265734133,16.325986258619977,88.66943901679257,NA
BFA,burkina faso,centre-sud,822833,86,22.393846625013826,17.05789631674957,17.86510750054993,87.60125809246834,NA
BFA,burkina faso,est,2906457,86,20.04032074102593,12.452783578081492,13.193974657116897,90.84311770846773,NA
BFA,burkina faso,haut-bassins,2317715,86,21.179315403317492,12.963733677350323,13.770959759935971,90.44267850740924,NA
BFA,burkina faso,nord,5495707,86,21.454548705016478,14.46432278867851,15.276564052632354,89.3977590161921,NA
BFA,burkina faso,plateau central,863054,86,21.665518611813397,15.950010080481638,16.717702484433186,88.39758012175368,NA
BFA,burkina faso,sahel,1413693,86,21.149111935901217,14.428422578310851,15.233038573438504,89.42796656926221,NA
BFA,burkina faso,sud-ouest,2678464,86,22.061475532245346,14.105778535757807,14.93041534252467,89.63799314398102,NA
BGD,bangladesh,barisal,8030042,79,26.202115630279394,21.4128344534188,22.535080140303126,85.63321035815254,NA
BGD,bangladesh,chittagong,31156864,79,24.32990826676266,17.776633104024846,18.77983804788569,88.02728984933144,NA
BGD,bangladesh,dhaka,54661859,79,25.850928304505707,19.122235121933922,20.295139980511827,87.0612394082243,NA
BGD,bangladesh,khulna,15836507,79,27.488504819907572,22.153157890183735,23.45645791714044,85.04580438408546,NA
BGD,bangladesh,rajshahi,19629465,79,26.89299835731641,21.00882932876673,22.29559593193192,85.78588872551545,NA
BGD,bangladesh,rangpur,16892458,79,26.131590855516706,20.507152955478713,21.717838813037154,86.154226221524425,NA
BGD,bangladesh,sylhet,11519114,79,23.798332319655835,17.415799513747324,18.453981790613412,88.23503298903023,NA
BGR,bulgaria,blagoevgrad,305946,80,40.566023089041856,47.05268249952606,48.53117870473875,68.66827102822066,NA
BGR,bulgaria,burgas,405634,80,40.757175187484286,46.79730989019657,48.204834900427485,68.87895858828402,NA
