ISOALPHA,COUNTRYNM,NAME1,tot_popn_2020,prop_vaxxed,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,perc_vaxxed
MNG,mongolia,ulaanbaatar,1762580,0.20403000632423393,90.5,27.850891457086174,21.331537135381918,22.615911079538066,20.403000632423392
MNG,mongolia,uvs,59357,0.1931065755904864,90.5,25.6473266946479,19.98024853921488,21.407291580939845,19.310657559048643
MNG,mongolia,zavkhan,47092,0.215373174788984,90.5,27.484705193765013,22.384326289199674,23.868215143860507,21.537317478898398
MNP,northern mariana islands,rota,2580,0.19511278195488727,95,31.94954491491888,33.628808864265935,20.53818757419866,19.511278195488728
MNP,northern mariana islands,saipan,49492,0.17473143923683115,95,31.05264413106594,31.922438822065537,18.392783077561173,17.473143923683114
MNP,northern mariana islands,tinian,3689,0.13844068877551016,95,30.913424744897952,29.26020408163264,14.572704081632645,13.844068877551017
MOZ,mozambique,cabo delgado,2295257,0.13241647395593462,75.5,22.258837397779654,15.581436193943334,16.386811490760138,13.241647395593462
MOZ,mozambique,gaza,1589148,0.1415986185859821,75.5,22.85113872918672,17.140658439804685,17.835278713027964,14.15986185859821
MOZ,mozambique,inhambane,1563802,0.15232815163664537,75.5,23.370287011843473,18.44711501785607,19.199720432964316,15.232815163664537
MOZ,mozambique,manica,2446418,0.10433091635303055,75.5,20.073365434315267,12.316609513337282,12.95208690332648,10.433091635303054
MOZ,mozambique,maputo,3521035,0.12652682641928129,75.5,23.004898312624427,14.734658862215296,15.615125451960099,12.652682641928129
MOZ,mozambique,nampula,6258108,0.11304276145489398,75.5,20.72957263566826,13.179584129678446,13.947533409945775,11.304276145489398
MOZ,mozambique,niassa,2266751,0.10227859681192646,75.5,19.55221743705846,11.96163861045674,12.639841362884741,10.227859681192646
MOZ,mozambique,sofala,2426554,0.1139126117810027,75.5,20.820287243316677,13.350003665168748,14.079695895427152,11.39126117810027
MOZ,mozambique,tete,3650007,0.1045000347981334,75.5,19.94757728957839,12.325260879679025,12.977537360431477,10.45000347981334
MOZ,mozambique,zambezia,5975924,0.10571072234175058,75.5,19.922353544296,12.286755513508304,13.02887675398717,10.571072234175057
MRT,mauritania,adrar,61725,0.13470710920746728,83,21.924110702148777,15.366894002233947,16.229772193670758,13.470710920746729
MRT,mauritania,assaba,397062,0.13467369115488273,83,21.93614285766268,15.361464398837708,16.22574592227503,13.467369115488273
MRT,mauritania,brakna,369272,0.1346768455783171,83,21.93500710885676,15.36197691428573,16.226125973291218,13.46768455783171
MRT,mauritania,dakhlet nouadhibou,163705,0.13481282396232566,83,21.886048149959297,15.384070023803728,16.242508911123572,13.481282396232567
