PUMA,ST,pop_size,perc_born_before_1980,perc_born_before_cessation,perc_foreign_born,overall_cvg,perc_susceptible
3202,47,128386,40.04408580374807,0.3381599239792501,11.118034676678143,0.9434018943547948,74.27567274364779
3203,17,119546,45.33735967744634,0.398214913087849,22.948488447961456,0.9327806515038917,70.17141336137115
3203,26,149082,37.916046202760896,0.338229967400491,28.026186930682446,0.8114894053442507,77.91041743819179
3203,36,110540,51.81201375067849,0.46728785959833546,25.384476207707618,0.9405444289732529,64.93812572021702
3203,42,127750,36.34833659491194,0.30150293542074363,15.93816046966732,0.9257218629460708,77.56449332866278
3203,47,109941,41.56229250234216,0.3330786512765938,4.007604078551223,0.9538910958512282,74.41418600543224
3204,17,147227,48.369524611654114,0.4240118999911701,16.50240784638687,0.9379722916287543,68.13984363841685
3204,26,149652,43.998743752171706,0.36876887712827094,6.867265389035897,0.8225582452080136,75.07678850506045
3204,36,116571,51.5659984044059,0.47560714071252713,36.67292894459171,0.9253323250542997,65.02106472859157
3204,42,171909,41.043808061241705,0.33227463367246624,12.892286035053429,0.9264797083574753,75.24811017850801
3204,47,108870,43.06787912188849,0.3460273720951594,6.989988059153118,0.9484948398738395,73.75891403951496
3205,17,125673,43.35617037868118,0.3733100984300526,15.239550261392662,0.9394142149171357,71.88515941915884
3205,26,115329,44.94272906207459,0.3660484353458367,3.246364747808444,0.8224377576524476,75.29785624687551
3205,36,114322,46.95071814698833,0.4091863333391648,31.094627455782785,0.9275823284673248,69.90713157258041
3205,42,169430,35.667237207106176,0.30981526294044737,10.820397804402997,0.9295259330265251,76.87568749116092
3205,47,105708,41.26650773829795,0.34166761266886136,9.496916032845196,0.948915542532505,74.02390233146579
3206,26,127069,56.366226223547834,0.4780001416553211,4.5125089518293215,0.8208434431318621,67.97633722068761
3206,36,155319,36.05997978354225,0.33327538807228996,37.87495412666834,0.9063027211743636,76.32862736318428
3206,42,149478,40.96656364147233,0.33233653112832656,8.237332584059192,0.9347000032698518,74.86644008154549
3206,47,131115,42.78839186973268,0.36240704724859857,9.42683903443542,0.9492952747985219,72.48043554940607
3207,17,115408,45.823513101344794,0.40504990988493,25.22702065714682,0.9265716708817305,70.36944645497596
3207,26,116243,43.30669373639703,0.36723071496778303,5.0592293729514894,0.8165964721486421,75.68062941368589
3207,36,114685,50.36404063303832,0.4489165976370057,22.564415573091512,0.9368267921684764,66.42636906608223
3207,42,117376,37.10042938931298,0.3447382769901854,7.486198200654308,0.9351744818965881,73.82631664786513
3207,47,115183,32.333764531224226,0.25436045249733036,6.150213139091706,0.9513830191997388,80.49430826480852
3208,17,176118,45.481438580951405,0.38770596986111583,24.18548927423659,0.9327134741086827,71.23694886133461
3208,26,160053,40.386621931485195,0.32557340380998795,2.8421835267067785,0.825836501317706,77.7011624959607
3208,36,104194,52.521258421790115,0.4218093172351575,8.570551087394668,0.9571508704760042,67.61655272423364
