ISOALPHA,COUNTRYNM,NAME1,mu,sigma,tot_popn_2020,prop_vaxxed,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,perc_vaxxed,diff
TTO,trinidad and tobago,penal-debe,20.834518246879707,3.458764572585827,93407,0.2430841134715984,80,33.73365662450022,34.845876653742145,30.38551418394979,24.30841134715984,-3.473893100280133
TTO,trinidad and tobago,point fortin,20.27290851852836,3.292202957162377,21026,0.23452981604346976,80,32.430495568031525,33.064198348725164,29.316227005433714,23.452981604346977,-3.1800730858186164
TTO,trinidad and tobago,port of spain,26.31401204248293,3.504393346133844,29178,0.292459866100519,80,36.13219098180669,40.19416442984779,36.55748326256487,29.2459866100519,-2.9319745675689717
TTO,trinidad and tobago,princes town,19.482058069846794,3.260732034642521,110582,0.22681304223442103,80,32.55736701705292,32.55489996006742,28.351630279302633,22.681304223442105,-3.199246153595311
TTO,trinidad and tobago,saint andrew,21.23133555214824,3.322481283251976,18863,0.24468235045632775,80,33.29651355400547,34.65513742003286,30.58529380704097,24.468235045632778,-3.236899493484536
TTO,trinidad and tobago,saint george,19.106634240181062,3.211700632883397,8333,0.22219733452640447,80,31.971057309218853,31.957795223085785,27.77466681580055,22.219733452640448,-3.1130992124593853
TTO,trinidad and tobago,saint patrick,21.908967601888683,3.4057811007362657,16772,0.2513731403033013,80,33.76623750209199,35.5487176369475,31.421642537912657,25.13731403033013,-3.228346428441448
TTO,trinidad and tobago,san fernando,23.94589882099139,3.459925958842475,43567,0.2704618884655247,80,35.05168289931248,37.64519932344206,33.807736058190585,27.04618884655247,-3.1002900255610832
TTO,trinidad and tobago,san juan -laventille,20.49526821041276,3.1770639080930687,155541,0.23362973886672792,80,32.82541245476181,33.08573123517864,29.20371735834099,23.36297388667279,-2.86770567626003
TTO,trinidad and tobago,sangre grande,18.702037808505793,3.09584805700738,84247,0.21646437419624937,80,31.7024307069805,31.098165816830292,27.05804677453117,21.646437419624935,-2.9443996111191417
TTO,trinidad and tobago,siparia,21.225726758465285,3.367065238243951,90316,0.24436649428679136,80,33.30253601491032,34.61225262181702,30.545811785848908,24.436649428679136,-3.2109226702138507
TTO,trinidad and tobago,tobago,18.82636749204395,3.269871830602479,22554,0.221725571043196,80,31.652815699675372,31.796307429223436,27.715696380399496,22.1725571043196,-3.3461896122756514
TTO,trinidad and tobago,tunapuna -piarco,21.420710449092834,3.29717652157789,222278,0.24416235255778823,80,33.664840286335014,34.55733396291739,30.52029406972353,24.416235255778822,-2.9955248066859888
TUN,tunisia,ariana,26.58328706390094,2.597654276387419,708757,0.2625854194505458,84.5,31.364339902532084,29.28428724203691,30.69706796524857,26.25854194505458,0.3247451188463586
TUN,tunisia,beja,31.305060265607175,2.612770579896133,304337,0.31023624630276486,84.5,33.460846726280344,34.92566437904775,36.33250762190979,31.023624630276487,0.2814356353306877
