ISOALPHA,COUNTRYNM,mean_vax,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,min_admin1_vax,max_admin1_vax,std_admin1_vax
ETH,ethiopia,10.559513231333137,88.5,21.47894886569416,13.514492669658779,11.9599776079257,7.781502201266051,13.116117348484636,1.852336105691565
FIN,finland,45.21088258143573,95,41.185524630843226,48.8478784321746,47.59040271730077,40.2402232287177,52.63076996508328,4.163155863321673
FJI,fiji,17.723661884305407,80,27.66081699674309,23.51280665291433,22.15457735538175,15.390654753185876,23.067840497151735,1.705586144134445
FLK,falkland islands (malvinas),NA,NA,37.01370608679439,41.47710475765703,NA,NA,NA,NA
FRA,france,39.26152335800321,77.5,39.83345146217012,45.60540883601646,51.21880135026592,34.50698012907266,43.80262347413865,2.5962874599669985
FRO,faeroe islands,36.05236772799543,92,37.33583542352451,42.12638833713581,39.18735622608197,34.638068631053606,43.298042059463384,3.465322246048087
FSM,micronesia (federated states of),17.412807238371947,80,25.456962058417602,20.677181639092698,21.766009047964936,16.081884326057462,22.161202425947092,2.7389648226040504
GAB,gabon,15.38416274887375,78,24.174267912231247,18.018341996567532,18.937447192006037,15.384162748873749,15.384162748873752,1.2560739669470201e-15
GBR,united kingdom of great britain and northern ireland,20.020234689448266,60,39.503073403634644,44.94119657968013,33.36705781574711,18.273873885140308,21.854835759312586,1.5568810763233731
GEO,georgia,29.224649787923543,80,33.713009914754224,36.530812234904424,36.530812234904424,28.968559516175535,29.336595185546962,0.08366446727945964
GGY,guernsey,20.723749377190995,60,39.475039255620736,47.60396538566575,34.539582295318326,20.357218496293676,32.601156069364166,3.534520326876609
GHA,ghana,16.08881910945881,94,24.568477584534715,17.847650182433025,16.883798063697203,13.406604580592314,19.231814061783016,1.8764592256515464
GIN,guinea,12.54643117495743,90.66666666666666,20.102907912278116,12.45400775643139,13.347267207401519,12.537951860527128,12.551273268431975,0.004769468074754009
GLP,guadeloupe,29.7516874161444,80,37.03459951546174,41.94209212503221,37.189609270180505,29.740301559114705,29.7631897702698,0.0161844093169974
GMB,gambia,9.692629504772789,83,20.60278631562953,12.489759020105707,11.677866873220228,9.68576653920074,9.709007593986692,0.00764113498063731
GNB,guinea-bissau,9.009962673759592,68,21.301959612406336,12.805507449903862,13.537569837238166,7.549149142308691,11.34327449587204,1.2236740626869007
GNQ,equatorial guinea,17.229151118822475,78,23.980833668654586,19.773940392615653,20.987261424413667,17.226894144075587,17.234846310638563,0.0056230309018054335
GRC,greece,39.73822252352068,80,42.019617613653004,48.1331591897532,49.672778154400845,36.638540120212184,42.45960488809192,1.9962919978879303
GRD,grenada,16.156833734048455,80,27.77862030700943,22.914740151655245,20.196042167560567,16.15683373404845,16.15683373404846,2.0511601988091347e-15
GRL,greenland,30.371636080596794,92,33.41543493430389,36.771657252091615,33.01264791369215,24.849213161659513,30.751360723428213,3.2315780313028015
GTM,guatemala,13.319805978713797,80,22.76063230271308,15.83554095833933,16.64975747339225,13.28271231311446,13.344815575478238,0.013458062083351202
GUF,french guiana,18.863674993955684,77.5,26.04543212058985,21.272746906613058,26.515675478911135,12.996230421165784,22.861232185136966,6.975609643721277
GUM,guam,20.284514664800998,95,31.26142844100467,31.262544376553283,21.35212069979053,16.098783694937538,23.251050420168067,2.1875419144634267
GUY,guyana,23.223762886866197,87.5,28.446075685734865,25.169367730421616,26.448744338925202,16.015157544405458,24.799518476635175,3.6916664267044186
HKG,"china, hong kong special administrative region",43.07897826223713,90,41.070687266879006,47.865531402485686,47.865531402485686,41.275377404296506,45.19569995866364,2.2089148926473476
HND,honduras,15.993316356104938,80,25.429109725394778,19.02957105063022,19.99164544513117,12.195761160709754,17.884535904152536,1.4758337186649617
HRV,croatia,37.870332502123674,80,41.32006067724286,48.677717081376265,47.33791562765458,35.5683338529411,42.921207147305566,2.0312031728161952
HTI,haiti,16.013871806491444,80,25.277235764326367,19.014725189404665,20.017339758114304,16.009428138154906,16.015671388415743,0.001991907614054139
HUN,hungary,38.581508208188346,80,41.042788747022726,46.787660143779746,48.22688526023543,37.28173934298209,40.46974674209165,1.2260855851655024
IDN,indonesia,24.00791212196888,93,28.697198691726516,24.427621035785922,25.814959270934278,14.605861229039585,26.437877609903804,3.729739867218781
IMN,isle of man,21.83510585556103,60,41.114721659286545,48.87861947031867,36.39184309260172,17.280535415504733,29.745635910224443,3.5132672251977013
IND,india,23.856716700758618,97,28.01205878779106,23.397162067961105,24.594553299751155,15.551049560919616,33.9079938208791,4.197938364948134
IRL,ireland,22.617524158994538,63,35.74417321552262,37.34185886023529,35.90083199840402,21.536055315751707,24.43352857034169,1.2683135486672228
IRN,iran (islamic republic of),22.662875463448245,88,29.936442621409288,24.446597379748265,25.75326757210027,22.64109717178819,22.667475684471032,0.004507780321383621
IRQ,iraq,13.674354512961141,88,22.537092843545402,14.56091243182006,15.539039219274024,13.67435451296114,13.674354512961145,2.4749288699128013e-15
ISL,iceland,38.246165882077165,95,36.03255461027872,38.932648521530105,40.25912198113386,37.18849684382982,40.599648255295286,1.5030007440102093
ISR,israel,24.64469912558986,80,32.36465449543364,31.94758650286162,30.80587390698732,19.217339239020916,29.265542361960247,3.872304240630435
ITA,italy,34.37157453179738,86,38.916309073009224,46.13237500151043,40.732752158407706,30.58075478814515,39.74232415068959,2.113551566704151
JAM,jamaica,19.848148238834415,80,31.025870696156463,28.538231658300912,24.810185298543022,16.343151015641663,22.119636496787724,1.534201676533014
JEY,jersey,17.84091438361893,60,38.07976276326571,43.71009658444561,29.73485730603156,15.548560318489027,22.184895833333336,1.9890618311564991
JOR,jordan,12.57519531198198,80,23.437312447659213,14.769099113384211,15.718994139977475,10.245697056020449,14.011747947953769,1.0296205814371102
JPN,japan,38.90473217975698,80,44.5076747946146,52.664892620319954,48.63091522469624,33.663628229786454,46.56551500128214,2.7030160629518174
KAZ,kazakhstan,25.174127320368942,89,30.646444478785988,28.47373073931626,28.47373073931626,18.922297747956247,34.44637783197967,5.126261761649694
KEN,kenya,11.632448519527191,82.33333333333333,21.35571129937885,12.968746736778188,13.741205803250832,9.233659554650233,15.831797574241635,2.233042763819311
KGZ,kyrgyzstan,20.000665536372892,91,27.1112456131944,21.978753336673503,21.978753336673503,17.163541704399734,25.302969012611577,2.789387528514941
KHM,cambodia,16.29886867928507,89,25.544798969006443,19.40853223174279,18.313335594702327,11.77319110395024,18.716707266348827,1.9444706866307067
KIR,kiribati,NA,NA,24.991954587642454,19.55516431053806,NA,NA,NA,NA
KNA,saint kitts and nevis,16.775829649594474,80,29.724526596295703,25.071833945999703,20.969787061993088,15.777584049673052,19.283615913741137,2.4791389061386546
KOR,republic of korea,31.482715641783923,80,37.457531969479426,41.0899047562979,39.35339455222991,28.174736025067126,39.62349190079068,3.356243212469349
KWT,kuwait,14.714294831801475,80,27.024180466351847,16.732853492710266,18.392868539751834,9.851764714725435,18.10404068784943,3.0075638535968663
LAO,lao people's democratic republic,13.290136043382452,89,23.074139419790562,15.892227583668719,14.932737127396017,11.78531211411392,14.633171393612963,0.8150201088547889
LBN,lebanon,22.10327650936011,80,31.02341167935084,28.940298093700054,27.629095636700132,22.103276509360104,22.10327650936011,3.1776437161565094e-15
LBR,liberia,13.584165219735478,87.66666666666664,22.369925520366802,13.982523917202258,14.87955986239871,11.778581412114344,16.472931486334698,1.2821087281878858
LBY,libya,15.19148699395563,84.5,25.82209079694202,16.73811170385447,17.802063813948703,15.191486993955625,15.191486993955628,1.818159190204792e-15
LCA,saint lucia,21.299031480157446,80,32.36211768433148,30.921124733803147,26.62378935019681,18.95985495935729,25.580363779351835,2.0094197046589555
LIE,liechtenstein,38.855321021352296,80,39.77893260335025,46.82620906891216,48.56915127669038,33.275217932752184,43.21567121183023,2.902190776466622
LKA,sri lanka,28.078095017251396,85,31.674553460601878,31.678131742348818,33.03305296147224,22.205265067698257,29.721834678659693,2.4861792998675907
LSO,lesotho,14.587616826414951,72,25.76750577207165,19.366271502090335,20.26057892557632,13.597568389057743,15.806707081129886,0.8174069575373422
LTU,lithuania,35.92031818838704,80,38.677588971593806,44.9003977354838,44.9003977354838,33.6282320923733,40.63244954766047,2.0038263635486095
LUX,luxembourg,33.5621411329032,80,38.82304605802235,43.61115877317163,41.952676416129,33.102315438823446,34.34741240121981,0.6330784665802541
LVA,latvia,38.30148828098972,80,41.23411676811316,47.87686035123715,47.87686035123715,37.460973983790005,40.76921571643713,1.3345007721879725
MAC,"china, macao special administrative region",NA,NA,34.058134471497574,35.209504612214765,NA,NA,NA,NA
MAR,morocco,22.59660898433816,84.5,28.434980611337398,25.082222454543622,26.391583785937762,18.868123245056864,24.123580976789786,1.7423586698294398
