ISOALPHA,COUNTRYNM,mean_susceptibility,overall_cvg,mean_age,perc_born_before_1980,perc_born_before_cessation,min_admin1_susc,max_admin1_susc,std_admin1_susc
MCO,monaco,61.96951968066827,80,46.17531523434402,57.366041925506885,58.90718760739116,61.96134230251778,62.00248793565682,0.018218721930061247
MDA,republic of moldova,77.8908300918109,80,33.046462401730324,34.2459261279261,34.2459261279261,72.6228226246242,80.35587594631038,1.8703324030647137
MDG,madagascar,89.47517867244207,80,21.86951854480212,14.54073383647971,16.302387434259494,89.47515692406039,89.4752253982682,2.431775773009332e-5
MDV,maldives,NA,NA,23.431280922118912,13.952539878870596,NA,NA,NA,NA
MEX,mexico,85.52512182730692,80,29.020731967687407,24.963510910542496,22.42081501346511,82.67286107919143,89.52607730019218,1.2992632096027623
MHL,marshall islands,89.66627088036121,80,22.042136945071483,15.252069224981188,16.006395786305493,89.61533963840525,91.72825,0.5432655551199488
MKD,the former yugoslav republic of macedonia,87.46834355170536,80,25.43040933040499,20.40594652589175,19.4108681045456,71.6680653192697,88.4850531367221,5.267615942364916
MLI,mali,89.09315664153647,94,20.69816922706401,13.73939616473403,14.511800135027894,87.38813063475249,90.33387543692213,0.9996273097965119
MLT,malta,NA,NA,25.28595166859879,20.204375779667874,NA,NA,NA,NA
MMR,myanmar,80.04947181358352,89,29.506190026430097,26.47094998106488,27.777352918168933,77.72756727153131,84.58127329108754,2.1334299304063613
MNE,montenegro,74.18093836264215,80,37.142321054509786,41.3000862542147,39.99235073940185,65.67323663489432,80.51430041030414,3.457937894914546
MNG,mongolia,83.2527704849582,90.5,27.64960332208287,21.66136376749417,23.00354146205298,80.28567625947541,86.02969735033345,1.3551929556219444
MNP,northern mariana islands,NA,NA,31.078938872148086,31.81697517577845,NA,NA,NA,NA
MOZ,mozambique,90.67531920261197,75.5,20.957372701814965,13.573559520087237,14.314772000623975,87.70727620124364,91.74623698666414,1.4225638842155623
MRT,mauritania,88.96100627551057,83,22.24577174413074,15.604574599904698,16.48078369162812,87.78863185331618,89.13328182931596,0.3717942782120743
MSR,montserrat,NA,NA,25.439018104334988,19.858499521313913,NA,NA,NA,NA
MTQ,martinique,73.08818871526961,80,36.11962735651967,40.0519935471553,41.684961717364295,69.82594191456022,75.90970393858957,2.8021627159267126
MUS,mauritius,NA,NA,31.03501847232309,30.93426686340892,NA,NA,NA,NA
MWI,malawi,89.91831769135705,91,21.234305672350875,13.028902136845653,13.728341719627643,87.88095202219579,92.81760230024213,1.207520092337758
